sentence_id,concept_id,lang_code,sentence,pronunciation,level,created_at
2843,24,kmr,Ez ê sibê gava vegerim wan re telefon bikim,null,B,2026-02-19 20:51:11.256541+00
2844,24,lo,ຂ້ອຍຈະໂທຫາພວກເຂົາມື້ອື່ນເມື່ອຂ້ອຍກັບມາ,khoy cha tho ha phuak khao mue un muea khoy kap ma,B,2026-02-19 20:51:11.256541+00
2845,24,la,Eos cras vocabo cum rediero,null,B,2026-02-19 20:51:11.256541+00
2846,24,lv,"Es viņiem piezvanīšu rīt, kad atgriezīšos",null,B,2026-02-19 20:51:11.256541+00
2847,24,lt,"Aš jiems paskambinsiu rytoj, kai grįšiu",null,B,2026-02-19 20:51:11.256541+00
2849,24,mk,Ќе им се јавам утре кога ќе се вратам,kje im se javam utre koga kje se vratam,B,2026-02-19 20:51:11.256541+00
2850,24,mg,Hiantso azy ireo aho rahampitso rehefa miverina aho,null,B,2026-02-19 20:51:11.256541+00
2851,24,ms,Saya akan hubungi mereka esok apabila saya kembali,null,B,2026-02-19 20:51:11.256541+00
2852,24,ml,ഞാൻ തിരികെ വന്നാൽ നാളെ അവരെ വിളിക്കും,ñān thirike vannāl nāḷe avare viḷikkum,B,2026-02-19 20:51:11.256541+00
2853,24,mt,Inċemplilhom għada meta nerġa’ niġi,null,B,2026-02-19 20:51:11.256541+00
2854,24,mi,Ka waea atu au ki a rātou āpōpō ina hoki mai au,null,B,2026-02-19 20:51:11.256541+00
2855,24,mn,Би буцаж ирэхдээ маргааш тэдэн рүү залгана,bi butsaj irehed margash tedend rüü zalgana,B,2026-02-19 20:51:11.256541+00
2856,24,sr-ME,Pozvaću ih sjutra kad se vratim,null,B,2026-02-19 20:51:11.256541+00
2857,24,ne,म फर्किएपछि भोलि उनीहरूलाई फोन गर्छु,ma pharkiepachhi bholi uniharulai phon garchhu,B,2026-02-19 20:51:11.256541+00
2858,24,nb-NO,Jeg ringer dem i morgen når jeg kommer tilbake,null,B,2026-02-19 20:51:11.256541+00
2859,24,nn-NO,Eg ringer dei i morgon når eg kjem tilbake,null,B,2026-02-19 20:51:11.256541+00
2860,24,oc,Los telefonarai deman quand tornarai,null,B,2026-02-19 20:51:11.256541+00
2861,24,or,ମୁଁ ଫେରି ଆସିଲେ କାଲି ସେମାନଙ୍କୁ ଫୋନ୍ କରିବି,mu pheri āsile kāli semānanku phon karibi,B,2026-02-19 20:51:11.256541+00
2862,24,ps,زه به سبا هغوی ته زنګ ووهم کله چې بېرته راشم,za ba سبا haghoy ta zang wuham kala che بيرته rāsham,B,2026-02-19 20:51:11.256541+00
2863,24,fa,فردا وقتی برگشتم بهشون زنگ می‌زنم,fardā vaghti bargashtam beheshun zang mizanam,B,2026-02-19 20:51:11.256541+00
2864,24,pt-BR,Eu vou ligar para eles amanhã quando eu voltar,null,B,2026-02-19 20:51:11.256541+00
2865,24,pt-PT,Vou ligar-lhes amanhã quando eu voltar,null,B,2026-02-19 20:51:11.256541+00
2866,24,pa,ਜਦੋਂ ਮੈਂ ਵਾਪਸ ਆਵਾਂਗਾ ਤਾਂ ਕੱਲ੍ਹ ਮੈਂ ਉਹਨਾਂ ਨੂੰ ਫ਼ੋਨ ਕਰਾਂਗਾ,jadon main vāpas āvāṅgā tan kallh main ohnānu phon karāṅgā,B,2026-02-19 20:51:11.256541+00
2867,24,ro,Îi voi suna mâine când mă întorc,null,B,2026-02-19 20:51:11.256541+00
2868,24,rm,Jau telefon a nus damaun cur che jau turn,null,B,2026-02-19 20:51:11.256541+00
2869,24,ru,"Я позвоню им завтра, когда вернусь",ya pozvonyu im zavtra kogda vernus,B,2026-02-19 20:51:11.256541+00
2870,24,sm,O le a ou valaau ia i latou taeao pe a ou toe foi mai,null,B,2026-02-19 20:51:11.256541+00
2871,24,sa,श्वः प्रत्यागत्य अहं तान् आह्वयिष्यामि,śvaḥ pratyāgatya ahaṃ tān āhvayiṣyāmi,B,2026-02-19 20:51:11.256541+00
2872,24,gd,Cuiridh mi fios thuca a-màireach nuair a thilleas mi,null,B,2026-02-19 20:51:11.256541+00
2873,24,sr,Pozvaću ih sutra kada se vratim,pozvaću ih sutra kada se vratim,B,2026-02-19 20:51:11.256541+00
2874,24,st,Ke tla ba letsetsa hosane ha ke khutla,null,B,2026-02-19 20:51:11.256541+00
2875,24,tn,Ke tla ba founa kamoso fa ke boa,null,B,2026-02-19 20:51:11.256541+00
2876,24,sn,Ndichavadafona mangwana pandinodzoka,null,B,2026-02-19 20:51:11.256541+00
2877,24,scn,Li chiamu dumani quannu tornu,null,B,2026-02-19 20:51:11.256541+00
2878,24,sd,مان سڀاڻي جڏهن واپس ايندس تڏهن انهن کي فون ڪندس,maan sabhani jadhan wapas endus tahen unhan khe phone kandus,B,2026-02-19 20:51:11.256541+00
2879,24,si,මම ආපහු ආවම හෙට ඔවුන්ට කතා කරනවා,mama āpahu āvama heta ovunta kathā karanavā,B,2026-02-19 20:51:11.256541+00
2880,24,sk,"Zavolám im zajtra, keď sa vrátim",null,B,2026-02-19 20:51:11.256541+00
2881,24,sl,"Poklical jih bom jutri, ko se vrnem",null,B,2026-02-19 20:51:11.256541+00
2882,24,so,Waan wici doonaa berri marka aan soo noqdo,null,B,2026-02-19 20:51:11.256541+00
2883,24,es,Los llamaré mañana cuando vuelva,null,B,2026-02-19 20:51:11.256541+00
2884,24,su,Kuring bakal nelepon maranéhna isukan pas balik deui,null,B,2026-02-19 20:51:11.256541+00
2885,24,sw,Nitawapigia kesho nitakaporudi,null,B,2026-02-19 20:51:11.256541+00
2886,24,sv,Jag ringer dem i morgon när jag kommer tillbaka,null,B,2026-02-19 20:51:11.256541+00
2887,24,tg,Ман фардо вақте баргаштам ба онҳо занг мезанам,man fardo vaqte bargashtam ba onho zang mezanam,B,2026-02-19 20:51:11.256541+00
2888,24,ta,நான் திரும்பி வந்ததும் நாளை அவர்களை அழைப்பேன்,nān thirumbi vanthathum nāḷai avargaḷai aḻaippēn,B,2026-02-19 20:51:11.256541+00
2889,24,te,నేను తిరిగి వచ్చినప్పుడు రేపు వాళ్లకు ఫోన్ చేస్తాను,nēnu tirigi vachchinappuḍu rēpu vāḷḷaku phōn chestānu,B,2026-02-19 20:51:11.256541+00
2890,24,th,ฉันจะโทรหาพวกเขาพรุ่งนี้ตอนฉันกลับมา,chǎn cha thoo hǎa phûak khao phrûng níi ton chǎn glàp maa,B,2026-02-19 20:51:11.256541+00
2891,24,ti,ክምለስ ከለኹ ጽባሕ ክድውለሎም እየ,k’meles keleku tsibah k’diwlelom iye,B,2026-02-19 20:51:11.256541+00
2892,24,tpi,Mi bai kolim ol tumora taim mi kam bek,null,B,2026-02-19 20:51:11.256541+00
2893,24,to,Te u telefoni kiate kinautolu ʻapōpō ʻi hoku toe haʻu,null,B,2026-02-19 20:51:11.256541+00
2894,24,tr,Geri döndüğümde onları yarın arayacağım,null,B,2026-02-19 20:51:11.256541+00
2895,24,uk,"Я подзвоню їм завтра, коли повернуся",ya podzvonyu yim zavtra koly povernusya,B,2026-02-19 20:51:11.256541+00
2896,24,ur,میں کل جب واپس آؤں گا تو انہیں فون کروں گا,main kal jab wapas aaunga to unhen phone karunga,B,2026-02-19 20:51:11.256541+00
2897,24,uz,Men qaytib kelganimda ertaga ularga qo‘ng‘iroq qilaman,null,B,2026-02-19 20:51:11.256541+00
2898,24,vec,Li ciamarò doman quando torno,null,B,2026-02-19 20:51:11.256541+00
2899,24,vi,Tôi sẽ gọi cho họ vào ngày mai khi tôi quay lại,null,B,2026-02-19 20:51:11.256541+00
2900,24,cy,Bydda i’n eu ffonio nhw yfory pan ddoi’n ôl,null,B,2026-02-19 20:51:11.256541+00
2901,24,wo,Dinaa leen woow suba bu ma dellusee,null,B,2026-02-19 20:51:11.256541+00
2902,24,yo,Mo máa pe wọn lọ́la nígbà tí mo bá padà wá,null,B,2026-02-19 20:51:11.256541+00
2903,24,zu,Ngizobashayela kusasa uma ngibuya,null,B,2026-02-19 20:51:11.256541+00
2904,24,zgh,ⴰⴷ ⵔⵉⵖ ⴰⴷ ⵏⵙⵙⵉⵡⵍ ⵉⵖⵔⵙ ⴰⵙⴽⴽⴰ ⵎⵉ ⴰⴷ ⴷⴷⵖ ⴷⴰⵖ,ad riɣ ad nssiwl iɣrs askka mi ad ddɣ daɣ,B,2026-02-19 20:51:11.256541+00
2905,25,af,Ek het nog altyd meer van geheimsinnige karakters gehou,null,B,2026-02-19 20:51:11.256541+00
2906,25,sq,Gjithmonë më kanë pëlqyer më shumë personazhet misterioze,null,B,2026-02-19 20:51:11.256541+00
2907,25,am,ሁልጊዜ ሚስጥራዊ ባለባህሪያትን ይበልጥ እወድ ነበር,hulgize misṭirawi balebahriyaten yibelṭ iwid neber,B,2026-02-19 20:51:11.256541+00
2908,25,ar-EG,أنا دايمًا كنت بحب الشخصيات الغامضة أكتر,ana dayman kunt baheb el-shakhsiyyat el-ghamda aktar,B,2026-02-19 20:51:11.256541+00
2909,25,ar-AE,كنت دائمًا أحب الشخصيات الغامضة أكثر,kuntu dā'iman uḥibbu al-shakhṣiyyāt al-ghāmiḍa akthar,B,2026-02-19 20:51:11.256541+00
2910,25,ar-IQ,دائماً كنت أحب الشخصيات الغامضة أكثر,dāyiman kunt aḥibb al-shakhṣiyyāt al-ghāmiḍa akthar,B,2026-02-19 20:51:11.256541+00
2911,25,ar-LB,دايمًا كنت حب الشخصيات الغامضة أكتر,dayman kunt ḥibb el-shakhṣiyyat el-ghāmdi aktar,B,2026-02-19 20:51:11.256541+00
2912,25,ar-MA,ديما كنت كنفضل الشخصيات الغامضة كتر,dayma kunt كنفضل shakhṣiyyat l-ghamda kter,B,2026-02-19 20:51:11.256541+00
2913,25,ar,كنت دائمًا أحب الشخصيات الغامضة أكثر,kuntu dā'iman uḥibbu al-shakhṣiyyāt al-ghāmiḍa akthar,B,2026-02-19 20:51:11.256541+00
2914,25,hy,Ես միշտ ավելի շատ եմ հավանել խորհրդավոր կերպարներին,yes mishd aveli shat em havanel khorhdavor kerparnerin,B,2026-02-19 20:51:11.256541+00
2915,25,ast,Siempres me prestaron más los personaxes misteriosos,null,B,2026-02-19 20:51:11.256541+00
2916,25,eu,Beti gehiago gustatu izan zaizkit pertsonaia misteriotsuak,null,B,2026-02-19 20:51:11.256541+00
2917,25,be,Мне заўсёды больш падабаліся загадкавыя персанажы,mne zaŭsyody bolsh padabalisya zagadkavyya persanazhy,B,2026-02-19 20:51:11.256541+00
2918,25,bn,আমি সবসময় রহস্যময় চরিত্রগুলোই বেশি পছন্দ করতাম,ami shobshomoy rohosshomoy choritruguloi beshi pochondo kortam,B,2026-02-19 20:51:11.256541+00
2919,25,bs,Uvijek su mi se više sviđali misteriozni likovi,null,B,2026-02-19 20:51:11.256541+00
2920,25,br,Plijet em betoc'h ar personajoù kuzhoc'h,null,B,2026-02-19 20:51:11.256541+00
2921,25,bg,Винаги съм харесвал повече загадъчните герои,vinagi sam haresval poveche zagadachnite geroi,B,2026-02-19 20:51:11.256541+00
2922,25,my,ငါက အမြဲတမ်း လျှို့ဝှက်ဆန်းကြယ်တဲ့ ဇာတ်ကောင်တွေကို ပိုကြိုက်ခဲ့တယ်,nga ka a-mye taing hlyo-hwet san-kyay de zat-kaung twe ko po kyite khae tal,B,2026-02-19 20:51:11.256541+00
2923,25,ca,Sempre m’han agradat més els personatges misteriosos,null,B,2026-02-19 20:51:11.256541+00
2924,25,ceb,Kanunay ko ganahan ug mas misteryosong mga karakter,null,B,2026-02-19 20:51:11.256541+00
2925,25,co,Mi sò sempre piaciuti di più i persunaghji misteriosi,null,B,2026-02-19 20:51:11.256541+00
2926,25,hr,Uvijek su mi se više sviđali tajanstveni likovi,null,B,2026-02-19 20:51:11.256541+00
2927,25,cs,Vždycky jsem měl raději tajemné postavy,null,B,2026-02-19 20:51:11.256541+00
2928,25,da,Jeg har altid bedre kunnet lide mystiske karakterer,null,B,2026-02-19 20:51:11.256541+00
2929,25,nl,Ik heb altijd meer van mysterieuze personages gehouden,null,B,2026-02-19 20:51:11.256541+00
2930,25,en,I always liked mysterious characters more,null,B,2026-02-19 20:51:11.256541+00
2931,25,eo,Mi ĉiam pli ŝatis misterajn rolulojn,null,B,2026-02-19 20:51:11.256541+00
2932,25,et,Mulle on alati rohkem meeldinud salapärased tegelased,null,B,2026-02-19 20:51:11.256541+00
2933,25,fo,Eg havi altíð dámað betri duldarfullar persónar,null,B,2026-02-19 20:51:11.256541+00
2934,25,fil,Palagi kong mas gusto ang mga misteryosong karakter,null,B,2026-02-19 20:51:11.256541+00
2935,25,fi,Olen aina pitänyt enemmän salaperäisistä hahmoista,null,B,2026-02-19 20:51:11.256541+00
2936,25,fr,J’ai toujours préféré les personnages mystérieux,null,B,2026-02-19 20:51:11.256541+00
2937,25,fy,Ik mocht altyd mysterieuse personaazjes mear,null,B,2026-02-19 20:51:11.256541+00
2938,25,gl,Sempre me gustaron máis os personaxes misteriosos,null,B,2026-02-19 20:51:11.256541+00
2939,25,ka,მე ყოველთვის უფრო მომწონდა იდუმალი პერსონაჟები,me qovelTvis upro momtsonda idumali personazhebi,B,2026-02-19 20:51:11.256541+00
2940,25,de,Ich mochte schon immer geheimnisvolle Charaktere lieber,null,B,2026-02-19 20:51:11.256541+00
2941,25,el,Πάντα μου άρεσαν περισσότερο οι μυστηριώδεις χαρακτήρες,pánta mou áresan perissótero i mystiriódeis charaktíres,B,2026-02-19 20:51:11.256541+00
2942,25,gu,મને હંમેશા રહસ્યમય પાત્રો વધુ ગમતા,mane hamesha rahasyamay pātro vadhu gamtā,B,2026-02-19 20:51:11.256541+00
2943,25,ht,Mwen te toujou renmen pèsonaj mistik plis,null,B,2026-02-19 20:51:11.256541+00
2944,25,ha,Kullum na fi fi son halaye masu ban mamaki,kullum na fi fi son halaye masu ban mamaki,B,2026-02-19 20:51:11.256541+00
2945,25,he,תמיד אהבתי יותר דמויות מסתוריות,tamid ahavti yoter dmuyot mistoriyot,B,2026-02-19 20:51:11.256541+00
2946,25,hi,मुझे हमेशा रहस्यमय किरदार ज़्यादा पसंद थे,mujhe hamesha rahasyamay kirdar zyada pasand the,B,2026-02-19 20:51:11.256541+00
2947,25,hu,Mindig is jobban kedveltem a titokzatos karaktereket,null,B,2026-02-19 20:51:11.256541+00
2948,25,is,Ég hef alltaf haft meiri mætur á dularfullum persónum,null,B,2026-02-19 20:51:11.256541+00
2949,25,ig,Anọ m na-enwe mmasị n’akụkọ ndị omimi karịa,null,B,2026-02-19 20:51:11.256541+00
2950,25,ilo,Saanak a nagustuan ti ad-adda a misterioso a karakter,null,B,2026-02-19 20:51:11.256541+00
2951,25,id,Aku selalu lebih suka karakter yang misterius,null,B,2026-02-19 20:51:11.256541+00
2952,25,ga,Bhí carachtair rúndiamhra níos mó de mo thaitneamh i gcónaí,null,B,2026-02-19 20:51:11.256541+00
2953,25,xh,Bendisoloko ndithanda ngakumbi abalinganiswa abamfihlakalo,null,B,2026-02-19 20:51:11.256541+00
2954,25,it,Mi sono sempre piaciuti di più i personaggi misteriosi,null,B,2026-02-19 20:51:11.256541+00
2955,25,ja,昔から謎めいたキャラのほうが好きだった,mukashi kara nazomeita kyara no hou ga suki datta,B,2026-02-19 20:51:11.256541+00
2956,25,jv,Aku tansah luwih seneng karakter sing misterius,null,B,2026-02-19 20:51:11.256541+00
2957,25,kn,ನನಗೆ ಯಾವಾಗಲೂ ರಹಸ್ಯಮಯ ಪಾತ್ರಗಳು ಹೆಚ್ಚು ಇಷ್ಟ,nanage yāvāgalū rahasyamaya pātragalu heccu iṣṭa,B,2026-02-19 20:51:11.256541+00
2958,25,kk,Маған әрқашан жұмбақ кейіпкерлер көбірек ұнайтын,mağan ärqashan jumbaq keiipkerler köbirek ūnaityn,B,2026-02-19 20:51:11.256541+00
2959,25,km,ខ្ញុំតែងតែចូលចិត្តតួអង្គអាថ៌កំបាំងជាង,khnom taeng tae chol chet tua ang athokombang cheang,B,2026-02-19 20:51:11.256541+00
2960,25,rw,Buri gihe nakundaga cyane abantu b’inyuguti z’amayobera,null,B,2026-02-19 20:51:11.256541+00
2961,25,rn,Buri gihe nakundaga cane abantu b’inyuguti z’amayobera,null,B,2026-02-19 20:51:11.256541+00
2962,25,ko,난 항상 신비로운 캐릭터를 더 좋아했어,nan hangsang sinbiroun kaerigteoreul deo johahaesseo,B,2026-02-19 20:51:11.256541+00
2963,25,ku,Ez her dem kesayetên misterîyê bêtir hez dikir,null,B,2026-02-19 20:51:11.256541+00
2964,25,kmr,Ez her dem kesayetên misterîyê bêtir hez dikir,null,B,2026-02-19 20:51:11.256541+00
2965,25,lo,ຂ້ອຍມັກຕົວລະຄອນລຶກລັບຫຼາຍກວ່າເສມອ,khoy mak tua la khon luek lap lai kwa semer,B,2026-02-19 20:51:11.256541+00
2966,25,la,Semper magis personas mysteriosas amavi,null,B,2026-02-19 20:51:11.256541+00
2967,25,lv,Man vienmēr vairāk patika noslēpumaini tēli,null,B,2026-02-19 20:51:11.256541+00
2968,25,lt,Man visada labiau patiko paslaptingi personažai,null,B,2026-02-19 20:51:11.256541+00
2969,25,lb,Ech hu ëmmer méi gären mysteriéis Personnagen gehat,null,B,2026-02-19 20:51:11.256541+00
2970,25,mk,Секогаш повеќе ми се допаѓале мистериозни ликови,sekogash povekje mi se dopagjale misteriozni likovi,B,2026-02-19 20:51:11.256541+00
2971,25,mg,Nitia foana kokoa ireo toetra mistery no tiako,null,B,2026-02-19 20:51:11.256541+00
2972,25,ms,Saya selalu lebih suka watak yang misteri,null,B,2026-02-19 20:51:11.256541+00
2973,25,ml,എനിക്ക് എപ്പോഴും കൂടുതൽ ഇഷ്ടമായത് രഹസ്യമായ കഥാപാത്രങ്ങളായിരുന്നു,enikk eppozhum kooduthal ishtamāyath rahasyamāya pāthrangalaayirunnu,B,2026-02-19 20:51:11.256541+00
2974,25,mt,Jien dejjem kont inħobb aktar karattri misterjużi,null,B,2026-02-19 20:51:11.256541+00
2975,25,mi,I pai tonu au ki ngā kiripuaki ngaro ake,null,B,2026-02-19 20:51:11.256541+00
2976,25,mn,Би үргэлж нууцлаг дүрүүдэд илүү дуртай байсан,bi ürgelj nuutsalag dürüüded ilüü durtai baisan,B,2026-02-19 20:51:11.256541+00
2977,25,sr-ME,Uvijek su mi se više sviđali misteriozni likovi,null,B,2026-02-19 20:51:11.256541+00
2978,25,ne,मलाई सधैं रहस्यमय पात्रहरू बढी मन पर्थे,malāi sadhai rahasyamay pātraharū badhi man parthē,B,2026-02-19 20:51:11.256541+00
2979,25,nb-NO,Jeg har alltid likt mystiske karakterer bedre,null,B,2026-02-19 20:51:11.256541+00
2980,25,nn-NO,Eg har alltid likt mystiske karakterar betre,null,B,2026-02-19 20:51:11.256541+00
2981,25,oc,Totjorn ai mai aimat los personatges misterioses,null,B,2026-02-19 20:51:11.256541+00
2982,25,or,ମୁଁ ସବୁବେଳେ ରହସ୍ୟମୟ ପାତ୍ରମାନଙ୍କୁ ଅଧିକ ପସନ୍ଦ କରୁଥିଲି,mu sabubele rahasyamaya pātramananku adhika pasanda karuthili,B,2026-02-19 20:51:11.256541+00
2983,25,ps,ما تل د رازناک کرکټرونو سره ډېر مینه لرله,ma tal da rāznāk karkṭaruno sara der mina larla,B,2026-02-19 20:51:11.256541+00
2984,25,fa,من همیشه شخصیت‌های مرموز رو بیشتر دوست داشتم,man hamishe shakhsiyat-hāye marmuz ro bishtar dust dāshtam,B,2026-02-19 20:51:11.256541+00
2985,25,pt-BR,Sempre gostei mais de personagens misteriosos,null,B,2026-02-19 20:51:11.256541+00
2986,25,pt-PT,Sempre gostei mais de personagens misteriosas,null,B,2026-02-19 20:51:11.256541+00
2987,25,pa,ਮੈਨੂੰ ਹਮੇਸ਼ਾ ਰਹੱਸਮਈ ਕਿਰਦਾਰ ਵੱਧ ਪਸੰਦ ਸਨ,mainu hamesha rahasmayi kirdar vadh pasand san,B,2026-02-19 20:51:11.256541+00
2988,25,ro,Întotdeauna mi-au plăcut mai mult personajele misterioase,null,B,2026-02-19 20:51:11.256541+00
2989,25,rm,Jau hai adina pli gugent persunas misteriusas,null,B,2026-02-19 20:51:11.256541+00
2990,25,ru,Мне всегда больше нравились загадочные персонажи,mne vsegda bolshe nravilis zagadochnye personazhi,B,2026-02-19 20:51:11.256541+00
2991,25,sm,Sa ou fiafia pea i tagata uiga lilo atili,null,B,2026-02-19 20:51:11.256541+00
2992,25,sa,अहं सदा रहस्यमयान् पात्रान् अधिकं प्रियमकरवम्,ahaṃ sadā rahasyamayan pātrān adhikaṃ priyamakaravam,B,2026-02-19 20:51:11.256541+00
2993,25,gd,Bha mi an-còmhnaidh nas fheàrr le caractaran dìomhair,null,B,2026-02-19 20:51:11.256541+00
2994,25,sr,Uvek su mi se više sviđali misteriozni likovi,uvek su mi se više sviđali misteriozni likovi,B,2026-02-19 20:51:11.256541+00
2995,25,st,Kamehla ke ne ke rata batho ba makatsang haholo,null,B,2026-02-19 20:51:11.256541+00
2996,25,tn,Ka metlha ke ne ke rata batho ba ba lephiri thata,null,B,2026-02-19 20:51:11.256541+00
2997,25,sn,Ndaigara ndichida vatambi vane zvakavanzika kupfuura,null,B,2026-02-19 20:51:11.256541+00
2998,25,scn,Sempre mi piacìeru cchiù li pirsunaggi misteriusi,null,B,2026-02-19 20:51:11.256541+00
2999,25,sd,مون کي هميشه وڌيڪ پراسرار ڪردار پسند هئا,mun khe hamesha wadhu prasrar kirdar pasand hua,B,2026-02-19 20:51:11.256541+00
3000,25,si,මට හැමදාමත් රහස්මය චරිත වැඩි කැමති,mata haemadāmat rahasmaya charita vadi kæmati,B,2026-02-19 20:51:11.256541+00
3001,25,sk,Vždy sa mi viac páčili tajomné postavy,null,B,2026-02-19 20:51:11.256541+00
3002,25,sl,Vedno so mi bili bolj všeč skrivnostni liki,null,B,2026-02-19 20:51:11.256541+00
3003,25,so,Mar walba waxaan jeclaa jilayaasha qarsoodiga ah in ka badan,null,B,2026-02-19 20:51:11.256541+00
3004,25,es,Siempre me gustaron más los personajes misteriosos,null,B,2026-02-19 20:51:11.256541+00
3005,25,su,Kuring sok leuwih resep karakter nu misterius,null,B,2026-02-19 20:51:11.256541+00
3006,25,sw,Siku zote nilipenda zaidi wahusika wa ajabu,null,B,2026-02-19 20:51:11.256541+00
3007,25,sv,Jag har alltid gillat mystiska karaktärer mer,null,B,2026-02-19 20:51:11.256541+00
3008,25,tg,Ман ҳамеша қаҳрамонҳои асроромезро бештар дӯст медоштам,man hamesha qahramonhoi asroromezro bishtar dust medoshtam,B,2026-02-19 20:51:11.256541+00
3009,25,ta,எனக்கு எப்போதும் மர்மமான பாத்திரங்கள் தான் அதிகம் பிடிக்கும்,enakku eppothum marmamāna pāthirangaḷ thān adhikam pidikkum,B,2026-02-19 20:51:11.256541+00
3010,25,te,నాకు ఎప్పుడూ రహస్యమైన పాత్రలు ఎక్కువగా నచ్చేవి,nāku eppudū rahasyamaina pātralu ekkuvagā nacchēvi,B,2026-02-19 20:51:11.256541+00
3011,25,th,ฉันชอบตัวละครลึกลับมากกว่าเสมอ,chǎn chôp tua lakhon lʉ́k láp mâak gwàa semer,B,2026-02-19 20:51:11.256541+00
3012,25,ti,ኩሉ ግዜ ምስጢራዊ ባህርያት ዝያዳ እፈቱ,kullu gize misṭirawi bahriyat ziyada ifetu,B,2026-02-19 20:51:11.256541+00
3013,25,tpi,Mi save laikim ol misteri kain manmeri moa,null,B,2026-02-19 20:51:11.256541+00
3014,25,to,Naʻaku faʻaʻapaʻapa ange pē ʻa e ngaahi tangata ʻoku fufuʻi ʻenau meʻa,null,B,2026-02-19 20:51:11.256541+00
3195,27,xh,Ndiyahamba,null,A,2026-02-19 20:51:13.587726+00
3015,25,tr,Her zaman gizemli karakterleri daha çok sevdim,null,B,2026-02-19 20:51:11.256541+00
3016,25,uk,Мені завжди більше подобалися загадкові персонажі,meni zavzhdy bilshe podobalysya zahadkovi personazhi,B,2026-02-19 20:51:11.256541+00
3017,25,ur,مجھے ہمیشہ پراسرار کردار زیادہ پسند تھے,mujhe hamesha pur-asrar kirdar zyada pasand the,B,2026-02-19 20:51:11.256541+00
3018,25,uz,Men har doim sirli qahramonlarni ko‘proq yoqtirardim,null,B,2026-02-19 20:51:11.256541+00
3019,25,vec,Mi go sempre piasso de più i personagi misteriosi,null,B,2026-02-19 20:51:11.256541+00
3020,25,vi,Tôi luôn thích những nhân vật bí ẩn hơn,null,B,2026-02-19 20:51:11.256541+00
3021,25,cy,Rwyf wastad wedi hoffi cymeriadau dirgel yn fwy,null,B,2026-02-19 20:51:11.256541+00
3022,25,wo,Maa ngi bég a bëgg jëmmal yi ñu xamuleen bu baax,null,B,2026-02-19 20:51:11.256541+00
3023,25,yo,Mo máa ń fẹ́ràn àwọn àwòkọ́ṣe tó ní àṣírí jù lọ,null,B,2026-02-19 20:51:11.256541+00
3024,25,zu,Bengihlala ngithanda kakhulu abalingiswa abangaqondakali,null,B,2026-02-19 20:51:11.256541+00
3025,25,zgh,ⵣⴷⵉⵖ ⴷⵉⵎⴰ ⵉⵎⵓⵔⵙⵏ ⵏ ⵉⵎⴷⴷⴰⵏ ⵉⵙⵙⴰⵏ ⴰⴽⴽⵯ ⵓⵔ ⵙⵙⵏⴼⵍⵍⴰⵏ,zdigh dima imursn n imddan issan akkʷ ur ssnfllan,B,2026-02-19 20:51:11.256541+00
3026,26,af,Jy moet slaap,null,A,2026-02-19 20:51:11.256541+00
3027,26,sq,Ti duhet të flesh,null,A,2026-02-19 20:51:11.256541+00
3028,26,am,መተኛት አለብህ,metenat alebh,A,2026-02-19 20:51:11.256541+00
3029,26,ar-EG,لازم تنام,lazem tenam,A,2026-02-19 20:51:11.256541+00
3030,26,ar-AE,يجب أن تنام,yajibu an tanām,A,2026-02-19 20:51:11.256541+00
3031,26,ar-IQ,لازم تنام,lazim tnam,A,2026-02-19 20:51:11.256541+00
3032,26,ar-LB,لازم تنام,lazem tnam,A,2026-02-19 20:51:11.256541+00
3033,26,ar-MA,خاصك تنعس,khassk tnʿas,A,2026-02-19 20:51:11.256541+00
3034,26,ar,يجب أن تنام,yajibu an tanāma,A,2026-02-19 20:51:11.256541+00
3035,26,hy,Դու պետք է քնես,du petk e qnes,A,2026-02-19 20:51:11.256541+00
3036,26,ast,Debes dormir,null,A,2026-02-19 20:51:11.256541+00
3037,26,eu,Lo egin behar duzu,null,A,2026-02-19 20:51:11.256541+00
3038,26,be,Табе трэба спаць,tabe treba spats,A,2026-02-19 20:51:11.256541+00
3039,26,bn,তোমার ঘুমানো উচিত,tomar ghumano uchit,A,2026-02-19 20:51:11.256541+00
3040,26,bs,Trebao bi spavati,null,A,2026-02-19 20:51:11.256541+00
3041,26,br,Ranksout a ra dit,null,A,2026-02-19 20:51:11.256541+00
3042,26,bg,Трябва да спиш,tryabva da spish,A,2026-02-19 20:51:11.256541+00
3043,26,my,မင်း အိပ်သင့်တယ်,min eit thint tal,A,2026-02-19 20:51:11.256541+00
3044,26,ca,Hauries de dormir,null,A,2026-02-19 20:51:11.256541+00
3045,26,ceb,Kinahanglan ka matulog,null,A,2026-02-19 20:51:11.256541+00
3046,26,co,Duverebbe dorme,null,A,2026-02-19 20:51:11.256541+00
3047,26,hr,Trebao bi spavati,null,A,2026-02-19 20:51:11.256541+00
3048,26,cs,Měl bys spát,null,A,2026-02-19 20:51:11.256541+00
3049,26,da,Du burde sove,null,A,2026-02-19 20:51:11.256541+00
3050,26,nl,Je moet slapen,null,A,2026-02-19 20:51:11.256541+00
3051,26,en,You should sleep,null,A,2026-02-19 20:51:11.256541+00
3052,26,eo,Vi devus dormi,null,A,2026-02-19 20:51:11.256541+00
3053,26,et,Sa peaksid magama,null,A,2026-02-19 20:51:11.256541+00
